[I 250409 18:17:07 optionslib:109] on open
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '75009', 'sequence_number': 61556475, 'exchange_timestamp': 1744192802000, 'last_traded_price': 317000, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74756', 'sequence_number': 61551967, 'exchange_timestamp': 1744192800000, 'last_traded_price': 52490, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74997', 'sequence_number': 61553134, 'exchange_timestamp': 1744192801000, 'last_traded_price': 264260, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74799', 'sequence_number': 61552351, 'exchange_timestamp': 1744192800000, 'last_traded_price': 61190, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '75007', 'sequence_number': 61555174, 'exchange_timestamp': 1744192802000, 'last_traded_price': 324940, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74995', 'sequence_number': 61551135, 'exchange_timestamp': 1744192800000, 'last_traded_price': 244760, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '75005', 'sequence_number': 61553540, 'exchange_timestamp': 1744192801000, 'last_traded_price': 316060, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74993', 'sequence_number': 61552949, 'exchange_timestamp': 1744192801000, 'last_traded_price': 240645, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '75003', 'sequence_number': 61550076, 'exchange_timestamp': 1744192799000, 'last_traded_price': 291625, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74991', 'sequence_number': 61552799, 'exchange_timestamp': 1744192800000, 'last_traded_price': 222605, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '75001', 'sequence_number': 61551687, 'exchange_timestamp': 1744192800000, 'last_traded_price': 266945, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '75043', 'sequence_number': 61553682, 'exchange_timestamp': 1744192801000, 'last_traded_price': 208000, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74828', 'sequence_number': 61552121, 'exchange_timestamp': 1744192800000, 'last_traded_price': 99685, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74969', 'sequence_number': 61552960, 'exchange_timestamp': 1744192801000, 'last_traded_price': 141130, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74967', 'sequence_number': 61552798, 'exchange_timestamp': 1744192800000, 'last_traded_price': 135900, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74769', 'sequence_number': 61551611, 'exchange_timestamp': 1744192800000, 'last_traded_price': 58100, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74801', 'sequence_number': 61551951, 'exchange_timestamp': 1744192800000, 'last_traded_price': 65135, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74965', 'sequence_number': 61553146, 'exchange_timestamp': 1744192801000, 'last_traded_price': 130490, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '75019', 'sequence_number': 61549059, 'exchange_timestamp': 1744192799000, 'last_traded_price': 319800, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74963', 'sequence_number': 61552502, 'exchange_timestamp': 1744192800000, 'last_traded_price': 125765, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74961', 'sequence_number': 61552118, 'exchange_timestamp': 1744192800000, 'last_traded_price': 118505, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74884', 'sequence_number': 61552754, 'exchange_timestamp': 1744192800000, 'last_traded_price': 109650, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '75015', 'sequence_number': 61555180, 'exchange_timestamp': 1744192802000, 'last_traded_price': 186425, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '75013', 'sequence_number': 61553541, 'exchange_timestamp': 1744192801000, 'last_traded_price': 420055, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '75011', 'sequence_number': 61552905, 'exchange_timestamp': 1744192800000, 'last_traded_price': 309075, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74815', 'sequence_number': 61551612, 'exchange_timestamp': 1744192800000, 'last_traded_price': 86205, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74738', 'sequence_number': 61552339, 'exchange_timestamp': 1744192800000, 'last_traded_price': 50700, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74979', 'sequence_number': 61551134, 'exchange_timestamp': 1744192800000, 'last_traded_price': 177450, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74813', 'sequence_number': 61551686, 'exchange_timestamp': 1744192800000, 'last_traded_price': 82345, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74977', 'sequence_number': 61550677, 'exchange_timestamp': 1744192800000, 'last_traded_price': 168905, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74811', 'sequence_number': 61551500, 'exchange_timestamp': 1744192800000, 'last_traded_price': 78515, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74975', 'sequence_number': 61550491, 'exchange_timestamp': 1744192799000, 'last_traded_price': 155030, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74732', 'sequence_number': 61552495, 'exchange_timestamp': 1744192800000, 'last_traded_price': 49495, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74973', 'sequence_number': 61550974, 'exchange_timestamp': 1744192800000, 'last_traded_price': 155775, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74971', 'sequence_number': 61552061, 'exchange_timestamp': 1744192800000, 'last_traded_price': 149325, 'subscription_mode_val': 'LTP'}
